x, y, vx, vy
64, 0, 4.83721, 0.0205123
64, 4, 4.84909, -0.0163155
64, 8, 4.89433, -0.0462942
64, 12, 4.98103, -0.0478289
64, 16, 5.13244, 0.00779717
64, 20, 5.40359, 0.144291
64, 24, 5.87124, 0.370251
64, 28, 6.5223, 0.603844
64, 32, 7.10558, 0.630501
64, 36, 7.43272, 0.402611
64, 40, 7.95072, 0.234104
64, 44, 9.19432, 0.26477
64, 48, 10.9808, 0.277027
64, 52, 12.7653, 0.290435
64, 56, 8.91169, 0.460687
64, 60, 1.36135, 0.256473
64, 64, 0, 0
64, 68, 0, 0
64, 72, 0, 0
64, 76, 0, 0
64, 80, 0, 0
64, 84, 0, 0
64, 88, 0, 0
64, 92, 0, 0
64, 96, 0, 0
64, 100, 0, 0
64, 104, 0, 0
64, 108, 0, 0
64, 112, 0, 0
64, 116, 0, 0
64, 120, 0, 0
64, 124, 0, 0
64, 128, 0, 0
64, 132, 0, 0
64, 136, 0, 0
64, 140, 0.615212, -0.224113
64, 144, 7.50967, -0.509313
64, 148, 12.8248, -0.216507
64, 152, 11.3817, -0.164097
64, 156, 9.50624, -0.169562
64, 160, 8.1504, -0.14362
64, 164, 7.53334, -0.290095
64, 168, 7.21452, -0.542006
64, 172, 6.6585, -0.569189
64, 176, 5.98563, -0.358132
64, 180, 5.47738, -0.12555
64, 184, 5.17635, 0.0218591
64, 188, 5.00748, 0.0842807
64, 192, 4.90997, 0.0859904
64, 196, 4.85649, 0.0571537
68, 0, 4.88819, 0.0179157
68, 4, 4.89834, -0.00969528
68, 8, 4.93618, -0.0394583
68, 12, 5.00135, -0.0617563
68, 16, 5.10095, -0.0563826
68, 20, 5.27235, 0.00290922
68, 24, 5.61243, 0.16258
68, 28, 6.24874, 0.457528
68, 32, 7.09887, 0.748669
68, 36, 7.70537, 0.730845
68, 40, 8.08021, 0.494759
68, 44, 9.13822, 0.466695
68, 48, 10.9696, 0.537836
68, 52, 12.6656, 0.584113
68, 56, 8.78837, 0.660185
68, 60, 1.70143, 0.490327
68, 64, -0.0665661, 0.0359283
68, 68, 0, 0
68, 72, 0, 0
68, 76, 0, 0
68, 80, 0, 0
68, 84, 0, 0
68, 88, 0, 0
68, 92, 0, 0
68, 96, 0, 0
68, 100, 0, 0
68, 104, 0, 0
68, 108, 0, 0
68, 112, 0, 0
68, 116, 0, 0
68, 120, 0, 0
68, 124, 0, 0
68, 128, 0, 0
68, 132, 0, 0
68, 136, -0.0183752, -0.0754114
68, 140, 0.96387, -0.639861
68, 144, 7.27431, -0.684173
68, 148, 12.6303, -0.472921
68, 152, 11.3818, -0.420949
68, 156, 9.47019, -0.384893
68, 160, 8.24697, -0.395073
68, 164, 7.82002, -0.630169
68, 168, 7.2717, -0.714335
68, 172, 6.41334, -0.460267
68, 176, 5.71768, -0.153822
